Accident year,Police force,All accidents
2014,Warwickshire,1653
2014,Derbyshire,2400
2014,Nottinghamshire,2880
2014,Lincolnshire,2194
2014,Leicestershire,2479
2014,Northamptonshire,1301
2014,Cambridgeshire,2049
2014,Norfolk,1882
2014,Suffolk,1761
2014,Bedfordshire,1577
2014,Hertfordshire,2634
2014,Essex,4117
2014,Thames Valley,5429
2014,Hampshire,4527
2014,Surrey,3962
2014,Kent,5279
2014,Sussex,4297
2014,City of London,348
2014,Devon and Cornwall,3967
2014,Avon and Somerset,3263
2014,Gloucestershire,798
2014,Wiltshire,1574
2014,Dorset,1826
2014,North Wales,1415
2014,Gwent,884
2014,South Wales,2328
2014,Dyfed-Powys,1249
2014,Police Scotland,8789
2015,Metropolitan Police,24886
2015,Cumbria,1293
2015,Lancashire,3711
2015,Merseyside,2706
2015,Greater Manchester,3073
2015,Cheshire,2322
2015,Northumbria,3229
2015,Durham,1073
2015,North Yorkshire,2062
2015,West Yorkshire,5286
2015,South Yorkshire,3066
2015,Humberside,2394
2015,Cleveland,941
2015,West Midlands,6096
2015,Staffordshire,2599
2015,West Mercia,2297
2015,Warwickshire,1504
2015,Derbyshire,2147
2015,Nottinghamshire,2750
2015,Lincolnshire,2134
2015,Leicestershire,2249
2015,Northamptonshire,1323
2015,Cambridgeshire,1968
2015,Norfolk,1749
2015,Suffolk,1486
2015,Bedfordshire,1478
2015,Hertfordshire,2510
2015,Essex,3746
2015,Thames Valley,5190
2015,Hampshire,4365
2015,Surrey,3858
2015,Kent,4878
2015,Sussex,4302
2015,City of London,346
2015,Devon and Cornwall,3856
2015,Avon and Somerset,3000
2015,Gloucestershire,815
2015,Wiltshire,1584
2015,Dorset,1777
2015,North Wales,1333
2015,Gwent,689
2015,South Wales,2196
2015,Dyfed-Powys,1325
2015,Police Scotland,8464
2016,Metropolitan Police,24789
2016,Cumbria,1281
2016,Lancashire,3675
2016,Merseyside,2494
2016,Greater Manchester,2907
2016,Cheshire,2370
2016,Northumbria,2802
2016,Durham,1013
2016,North Yorkshire,2043
2016,West Yorkshire,4969
2016,South Yorkshire,3053
2016,Humberside,2389
2016,Cleveland,777
2016,West Midlands,5905
2016,Staffordshire,2582
2016,West Mercia,2300
2016,Warwickshire,1455
2016,Derbyshire,1915
2016,Nottinghamshire,2584
2016,Lincolnshire,1988
2016,Leicestershire,2174
2016,Northamptonshire,1204
2016,Cambridgeshire,2181
2016,Norfolk,1864
2016,Suffolk,1589
2016,Bedfordshire,1527
2016,Hertfordshire,2642
2016,Essex,3694
2016,Thames Valley,4871
2016,Hampshire,4376
2016,Surrey,3742
2016,Kent,5047
2016,Sussex,4143
2016,City of London,368
2016,Devon and Cornwall,3586
2016,Avon and Somerset,3044
2016,Gloucestershire,846
2016,Wiltshire,1593
2016,Dorset,1571
2016,North Wales,998
2016,Gwent,620
2016,South Wales,2066
2016,Dyfed-Powys,1238
2016,Police Scotland,8346
2017,Metropolitan Police,26747
2017,Cumbria,1291
2017,Lancashire,3355
2017,Merseyside,2241
2017,Greater Manchester,4069
2017,Cheshire,2210
2017,Northumbria,2362
2017,Durham,1048
2017,North Yorkshire,1856
2017,West Yorkshire,4370
2017,South Yorkshire,2794
2017,Humberside,2328
2017,Cleveland,679
2017,West Midlands,5682
2017,Staffordshire,1807
2017,West Mercia,2121
2017,Warwickshire,1368
2017,Derbyshire,1643
2017,Nottinghamshire,2492
2017,Lincolnshire,1908
2017,Leicestershire,1623
2017,Northamptonshire,1068
2017,Cambridgeshire,2004
2017,Norfolk,1767
2017,Suffolk,1573
2017,Bedfordshire,1659
2017,Hertfordshire,2242
2017,Essex,3235
2017,Thames Valley,4129
2017,Hampshire,4072
2017,Surrey,3502
2017,Kent,4788
2017,Sussex,3912
2017,City of London,313
2017,Devon and Cornwall,3568
2017,Avon and Somerset,2774
2017,Gloucestershire,799
2017,Wiltshire,1320
2017,Dorset,1596
2017,North Wales,1004
2017,Gwent,629
2017,South Wales,1731
2017,Dyfed-Powys,1190
2017,Police Scotland,7113
2018,Metropolitan Police,25390
2018,Cumbria,1244
2018,Lancashire,3379
2018,Merseyside,2287
2018,Greater Manchester,3762
2018,Cheshire,2029
2018,Northumbria,2340
2018,Durham,951
2018,North Yorkshire,1620
2018,West Yorkshire,4132
2018,South Yorkshire,2469
2018,Humberside,2305
2018,Cleveland,608
2018,West Midlands,5490
2018,Staffordshire,1417
2018,West Mercia,1788
2018,Warwickshire,1212
2018,Derbyshire,1661
2018,Nottinghamshire,2433
2018,Lincolnshire,1882
2018,Leicestershire,1586
2018,Northamptonshire,1041
2018,Cambridgeshire,1803
2018,Norfolk,1782
2018,Suffolk,1463
2018,Bedfordshire,1498
2018,Hertfordshire,2053
2018,Essex,3163
2018,Thames Valley,3832
2018,Hampshire,3957
2018,Surrey,3113
2018,Kent,4403
2018,Sussex,3859
2018,City of London,272
2018,Devon and Cornwall,3448
2018,Avon and Somerset,2956
2018,Gloucestershire,778
2018,Wiltshire,1286
2018,Dorset,1324
2018,North Wales,985
2018,Gwent,624
2018,South Wales,1465
2018,Dyfed-Powys,1140
2018,Police Scotland,6405
2019,Metropolitan Police,25055
2019,Cumbria,1025
2019,Lancashire,2949
2019,Merseyside,2149
2019,Greater Manchester,3622
2019,Cheshire,1729
2019,Northumbria,2296
2019,Durham,851
2019,North Yorkshire,1376
2019,West Yorkshire,3620
2019,South Yorkshire,2377
2019,Humberside,2311
2019,Cleveland,662
2019,West Midlands,5416
2019,Staffordshire,1312
2019,West Mercia,1879
2019,Warwickshire,1108
2019,Derbyshire,1705
2019,Nottinghamshire,2354
2019,Lincolnshire,1893
2019,Leicestershire,1316
2019,Northamptonshire,1113
2019,Cambridgeshire,1696
2019,Norfolk,1648
2019,Suffolk,1362
2019,Bedfordshire,1390
2019,Hertfordshire,1960
2019,Essex,2913
2019,Thames Valley,3564
2019,Hampshire,3657
2019,Surrey,2964
2019,Kent,4196
2019,Sussex,3991
2019,City of London,283
2019,Devon and Cornwall,3404
2019,Avon and Somerset,2935
2019,Gloucestershire,845
2019,Wiltshire,1333
2019,Dorset,1276
2019,North Wales,913
2019,Gwent,715
2019,South Wales,1546
2019,Dyfed-Powys,1143
2019,Police Scotland,5684
